Open,High,Low,Close,Volume,Capital Gains
117.91000366210938,119.31999969482422,117.37000274658203,118.86000061035156,1300300,0.0
119.12999725341797,120.08000183105469,118.77999877929688,119.33000183105469,1195600,0.0
118.94499969482422,119.7699966430664,118.75,119.38999938964844,868900,0.0
118.9000015258789,120.19000244140625,118.66000366210938,119.95999908447266,1043100,0.0
119.37999725341797,119.79000091552734,117.55000305175781,117.94000244140625,1015400,0.0
117.37000274658203,118.81999969482422,116.76000213623047,118.75,954400,0.0
119.44999694824219,120.78500366210938,119.40499877929688,120.48999786376953,1189600,0.0
120.22000122070312,120.38999938964844,118.6449966430664,119.95999908447266,925700,0.0
118.75,119.47000122070312,118.44000244140625,119.47000122070312,941800,0.0
118.05999755859375,120.5199966430664,118.05000305175781,120.11000061035156,1628000,0.0
118.01000213623047,119.68000030517578,116.83999633789062,119.22000122070312,1430300,0.0
119.5,120.63999938964844,119.18499755859375,120.26000213623047,1464700,0.0
120.0199966430664,120.83999633789062,118.44000244140625,119.6500015258789,2039800,0.0
118.0,119.13500213623047,117.41699981689453,118.23999786376953,1955200,0.0
116.94999694824219,119.58000183105469,116.2300033569336,119.30000305175781,2870600,0.0
119.37999725341797,120.32499694824219,118.77999877929688,119.08000183105469,1380900,0.0
119.29000091552734,119.62000274658203,118.06999969482422,118.69999694824219,1141600,0.0
117.73999786376953,117.91999816894531,116.91000366210938,117.16999816894531,1389900,0.0
117.5,118.20999908447266,115.98999786376953,116.18000030517578,2456940,0.0
